idx,doi,success,status,elapsed_sec,error
1,10.1038/s41467-023-40854-1,True,COMPLETED,83.684,
2,10.1038/s41551-023-01045-x,True,NEEDS_REVIEW,60.507,
3,10.1038/s41467-023-42720-6,True,NEEDS_REVIEW,88.669,
4,10.1038/s41586-022-05030-3,True,NEEDS_REVIEW,103.886,
5,10.1038/s41392-022-01090-z,True,NEEDS_REVIEW,66.398,
6,10.1109/taffc.2022.3164516,True,NEEDS_REVIEW,85.828,
7,10.1038/s41467-024-47121-x,True,NEEDS_REVIEW,78.062,
8,10.1038/s41392-022-01130-8,True,NEEDS_REVIEW,149.894,
9,10.1038/s41467-024-51130-1,True,NEEDS_REVIEW,98.053,
10,10.1007/s00134-023-07050-7,True,SKIPPED,177.217,
11,10.1038/s41586-023-06957-x,True,SKIPPED,34.246,
12,10.1038/s41586-023-05769-3,True,SKIPPED,184.518,
13,10.1038/s41587-022-01618-2,True,SKIPPED,81.456,
14,10.1038/s41586-022-05572-6,True,NEEDS_REVIEW,132.936,
15,10.1038/s41591-023-02327-2,True,SKIPPED,186.021,
16,10.1038/s41586-022-05498-z,True,SKIPPED,176.962,
17,10.1038/s41467-023-39637-5,True,NEEDS_REVIEW,66.987,
18,10.1038/s41586-024-07487-w,True,SKIPPED,179.188,
19,10.1038/s41746-023-00819-6,True,SKIPPED,58.364,
20,10.3389/fimmu.2022.863640,True,NEEDS_REVIEW,67.713,
